Symptoms,Outcome,Weight
 METASTASES TO PERITONEUM,VISITED A HEALTH CARE PROVIDER,2
 METASTASES TO LIVER, VISITED A HEALTH CARE PROVIDER,2
 METASTASES TO LIVER, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 METASTASES TO LIVER,HOSPITALIZATION,2
 METABOLIC DISORDER,VISITED AN ER,2
 METABOLIC DISORDER, VISITED AN ER,2
 METABOLIC DISORDER, LIFE THREATENING,2
 METABOLIC ACIDOSIS, DEATH,2
 MESOTHELIOMA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 MENTAL STATUS CHANGES, SERIOUS INJURIES/ ILLNESS,2
 MENTAL IMPAIRMENT, LIFE THREATENING,2
 MENTAL DISORDER,VISITED AN ER,2
 MENSTRUATION IRREGULAR, SERIOUS INJURIES/ ILLNESS,2
 MENSTRUATION IRREGULAR,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 MENSTRUAL DISORDER, VISITED AN ER,2
 MENSTRUAL DISORDER, HOSPITALIZATION,2
 MENSTRUAL DISCOMFORT, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 MENSTRUAL DISCOMFORT,DISABILITY,2
 MENSTRUAL DISCOMFORT, LIFE THREATENING,2
 MENORRHAGIA, SERIOUS INJURIES/ ILLNESS,2
 MENOPAUSE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 MENOPAUSE, HOSPITALIZATION,2
 MENISCUS INJURY, VISITED A HEALTH CARE PROVIDER,2
 MENISCUS INJURY,VISITED AN ER,2
 MENISCUS INJURY,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 MENINGITIS, VISITED A HEALTH CARE PROVIDER,2
 MENINGIOMA, HOSPITALIZATION,2
 MELANOCYTIC NAEVUS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 MELAENA, VISITED AN ER,2
 MELAENA,VISITED A HEALTH CARE PROVIDER,2
 MEDICATION RESIDUE PRESENT,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 MEDICATION RESIDUE, VISITED AN ER,2
 MEDICATION ERROR, VISITED A HEALTH CARE PROVIDER,2
 MEDICATION ERROR,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 MEDICATION ERROR, HOSPITALIZATION,2
 MEDICATION ERROR, NON-SERIOUS INJURIES/ ILLNESS,2
 MEDICAL DEVICE COMPLICATION,HOSPITALIZATION,2
 MECHANICAL VENTILATION, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 MECHANICAL VENTILATION, LIFE THREATENING,2
 MECHANICAL VENTILATION,HOSPITALIZATION,2
 MEASLES,VISITED A HEALTH CARE PROVIDER,2
 MEASLES, HOSPITALIZATION,2
 MEAN PLATELET VOLUME INCREASED, VISITED AN ER,2
 MEAN PLATELET VOLUME INCREASED,HOSPITALIZATION,2
 MEAN CELL VOLUME INCREASED, HOSPITALIZATION,2
 MASS, DISABILITY,2
 MASS, DEATH,2
 MANIA, SERIOUS INJURIES/ ILLNESS,2
 MALNUTRITION, VISITED AN ER,2
 MALNUTRITION, LIFE THREATENING,2
 MALIGNANT MAST CELL NEOPLASM, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 MAJOR DEPRESSION, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 MAJOR DEPRESSION,DISABILITY,2
 MAJOR DEPRESSION,VISITED A HEALTH CARE PROVIDER,2
 MAJOR DEPRESSION, LIFE THREATENING,2
 MADAROSIS, VISITED A HEALTH CARE PROVIDER,2
 MADAROSIS,DISABILITY,2
 MACULE,HOSPITALIZATION,2
 MACULAR DEGENERATION, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 LYMPHOMA, DEATH,2
 LYMPHOEDEMA, LIFE THREATENING,2
 LYMPHOCYTE PERCENTAGE INCREASED, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 LYMPHOCYTE PERCENTAGE INCREASED,VISITED A HEALTH CARE PROVIDER,2
 LYMPHOCYTE PERCENTAGE DECREASED,VISITED AN ER,2
 LYMPHOCYTE PERCENTAGE DECREASED, HOSPITALIZATION,2
 LYMPHOCYTE COUNT INCREASED, VISITED A HEALTH CARE PROVIDER,2
 LYMPHATIC DISORDER, VISITED A HEALTH CARE PROVIDER,2
 LUPUS-LIKE SYNDROME, VISITED A HEALTH CARE PROVIDER,2
 LUPUS-LIKE SYNDROME,SERIOUS INJURIES/ ILLNESS,2
 LUNG NEOPLASM MALIGNANT, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 LUNG NEOPLASM, VISITED A HEALTH CARE PROVIDER,2
 LUNG NEOPLASM,DISABILITY,2
 LUNG NEOPLASM, LIFE THREATENING,2
 LUNG NEOPLASM,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 LUNG INFILTRATION, HOSPITALIZATION,2
 LUNG HYPERINFLATION, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 LUNG HYPERINFLATION, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 LUNG HYPERINFLATION,VISITED AN ER,2
 LUNG HYPERINFLATION, HOSPITALIZATION,2
 LUMBAR PUNCTURE, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 LUMBAR PUNCTURE, VISITED A HEALTH CARE PROVIDER,2
 LUMBAR PUNCTURE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 LOWER RESPIRATORY TRACT INFECTION,NON-SERIOUS INJURIES/ ILLNESS,2
 LOWER LIMB FRACTURE, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 LOWER LIMB FRACTURE,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 LOWER LIMB DEFORMITY,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 LOSS OF LIBIDO, VISITED A HEALTH CARE PROVIDER,2
 LOSS OF LIBIDO,VISITED A HEALTH CARE PROVIDER,2
 LOSS OF CONTROL OF LEGS,HOSPITALIZATION,2
 LOOSE STOOLS,VISITED AN ER,2
 LOOSE STOOLS,VISITED A HEALTH CARE PROVIDER,2
 LOOSE STOOLS, HOSPITALIZATION,2
 LOCALISED OEDEMA,HOSPITALIZATION,2
 LOCAL SWELLING, SERIOUS INJURIES/ ILLNESS,2
 LIVER TRANSPLANT,VISITED AN ER,2
 LIVER TRANSPLANT,DISABILITY,2
 LIVER TRANSPLANT,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 LIVER SCAN ABNORMAL, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 LIVER SCAN ABNORMAL, VISITED A HEALTH CARE PROVIDER,2
 LIVER SCAN ABNORMAL,VISITED AN ER,2
 LIVER SCAN ABNORMAL,DISABILITY,2
 LIVER INJURY, SERIOUS INJURIES/ ILLNESS,2
 LIVER INJURY, NON-SERIOUS INJURIES/ ILLNESS,2
 LIVER DISORDER,SERIOUS INJURIES/ ILLNESS,2
 LIVEDO RETICULARIS,LIFE THREATENING,2
 LIVEDO RETICULARIS,HOSPITALIZATION,2
 LIVE BIRTH, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 LIVE BIRTH, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 LIVE BIRTH,HOSPITALIZATION,2
 LISTLESS,HOSPITALIZATION,2
 LISTERIOSIS,DEATH,2
 LIPASE INCREASED,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 LIP ULCERATION,VISITED A HEALTH CARE PROVIDER,2
 LIP ULCERATION, NON-SERIOUS INJURIES/ ILLNESS,2
 LIP PAIN,VISITED A HEALTH CARE PROVIDER,2
 LIP HAEMORRHAGE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 LIP EXFOLIATION, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 LIP DRY, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 LIP DRY,HOSPITALIZATION,2
 LIP DISCOLOURATION, NON-SERIOUS INJURIES/ ILLNESS,2
 LIP BLISTER, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 LIP BLISTER, VISITED A HEALTH CARE PROVIDER,2
 LIP BLISTER, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 LIP BLISTER, LIFE THREATENING,2
 LIMB INJURY, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 LIMB INJURY, VISITED A HEALTH CARE PROVIDER,2
 LIMB INJURY, HOSPITALIZATION,2
 LIMB CRUSHING INJURY,VISITED AN ER,2
 LIGAMENT SPRAIN, VISITED AN ER,2
 LIGAMENT SPRAIN,VISITED A HEALTH CARE PROVIDER,2
 LIBIDO DECREASED,DISABILITY,2
 LIBIDO DECREASED, LIFE THREATENING,2
 LIBIDO DECREASED,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 LIBIDO DECREASED,HOSPITALIZATION,2
 LEUKOCYTOSIS, NON-SERIOUS INJURIES/ ILLNESS,2
 LEUKAEMIA, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 LEUKAEMIA,HOSPITALIZATION,2
 LETHARGY, DISABILITY,2
 LENTIGO,VISITED A HEALTH CARE PROVIDER,2
 LEIOMYOSARCOMA, VISITED A HEALTH CARE PROVIDER,2
 LEIOMYOSARCOMA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 LEIOMYOSARCOMA,HOSPITALIZATION,2
 LEFT VENTRICULAR HYPERTROPHY, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 LEFT VENTRICULAR HYPERTROPHY,VISITED A HEALTH CARE PROVIDER,2
 LEFT VENTRICULAR HYPERTROPHY,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 LEFT ATRIAL DILATATION,VISITED A HEALTH CARE PROVIDER,2
 LAZINESS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 LARYNGOSPASM,SERIOUS INJURIES/ ILLNESS,2
 LARGE INTESTINAL HAEMORRHAGE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 LARGE INTESTINAL HAEMORRHAGE, HOSPITALIZATION,2
 LAPAROTOMY, SERIOUS INJURIES/ ILLNESS,2
 LAPAROTOMY, LIFE THREATENING,2
 LAPAROTOMY,HOSPITALIZATION,2
 LACTOBACILLUS INFECTION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 LACTIC ACIDOSIS, LIFE THREATENING,2
 LACRIMATION INCREASED, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 LACERATION, DISABILITY,2
 LABYRINTHITIS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 LABORATORY TEST ABNORMAL, SERIOUS INJURIES/ ILLNESS,2
 LABILE BLOOD PRESSURE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 KNEE OPERATION,HOSPITALIZATION,2
 KLEBSIELLA INFECTION, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 KLEBSIELLA INFECTION,VISITED AN ER,2
 KLEBSIELLA INFECTION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 KLEBSIELLA INFECTION,HOSPITALIZATION,2
 KIDNEY INFECTION, SERIOUS INJURIES/ ILLNESS,2
 KIDNEY FIBROSIS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 KIDNEY FIBROSIS, HOSPITALIZATION,2
 KETOACIDOSIS, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 KERATOCONJUNCTIVITIS SICCA,VISITED AN ER,2
 KERATOCONJUNCTIVITIS SICCA,NON-SERIOUS INJURIES/ ILLNESS,2
 KELOID SCAR, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 KELOID SCAR,VISITED A HEALTH CARE PROVIDER,2
 JUDGEMENT IMPAIRED,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 JOINT STIFFNESS, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 JOINT STIFFNESS,VISITED AN ER,2
 JOINT SPRAIN, VISITED A HEALTH CARE PROVIDER,2
 JOINT SPRAIN, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 JOINT SPRAIN,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 JOINT INJURY, VISITED AN ER,2
 JOINT CREPITATION,VISITED A HEALTH CARE PROVIDER,2
 JOINT CREPITATION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 JAW FRACTURE, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 JAW FRACTURE,VISITED AN ER,2
 JAW DISORDER, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 JAW DISORDER,VISITED A HEALTH CARE PROVIDER,2
 JAUNDICE CHOLESTATIC,DISABILITY,2
 JAUNDICE CHOLESTATIC, LIFE THREATENING,2
 ISCHAEMIC STROKE,LIFE THREATENING,2
 ISCHAEMIC STROKE, LIFE THREATENING,2
 ISCHAEMIA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 ISCHAEMIA,DISABILITY,2
 ISCHAEMIA,DEATH,2
 IRRITABLE BOWEL SYNDROME,SERIOUS INJURIES/ ILLNESS,2
 IRREGULAR SLEEP PHASE, VISITED AN ER,2
 IRREGULAR SLEEP PHASE,DISABILITY,2
 IRREGULAR SLEEP PHASE, LIFE THREATENING,2
 IRREGULAR SLEEP PHASE, HOSPITALIZATION,2
 IRON OVERLOAD,VISITED AN ER,2
 IRON DEFICIENCY ANAEMIA,NON-SERIOUS INJURIES/ ILLNESS,2
 IRON DEFICIENCY ANAEMIA, HOSPITALIZATION,2
 IRON DEFICIENCY, VISITED A HEALTH CARE PROVIDER,2
 IRON DEFICIENCY, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 IRON DEFICIENCY,VISITED AN ER,2
 IRITIS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 IRITIS,VISITED AN ER,2
 INTUBATION,LIFE THREATENING,2
 INTUBATION,DISABILITY,2
 INTRAVENTRICULAR HAEMORRHAGE, VISITED AN ER,2
 INTRAVENTRICULAR HAEMORRHAGE,DISABILITY,2
 INTRAVENTRICULAR HAEMORRHAGE, HOSPITALIZATION,2
 INTRA-UTERINE DEATH,VISITED A HEALTH CARE PROVIDER,2
 INTRAOCULAR PRESSURE TEST ABNORMAL, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 INTRAOCULAR PRESSURE TEST ABNORMAL,VISITED A HEALTH CARE PROVIDER,2
 INTRAOCULAR PRESSURE INCREASED, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 INTRAOCULAR PRESSURE DECREASED, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 INTRAOCULAR PRESSURE DECREASED,VISITED A HEALTH CARE PROVIDER,2
 INTRACRANIAL PRESSURE INCREASED,VISITED A HEALTH CARE PROVIDER,2
 INTRACRANIAL ANEURYSM, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 INTRACRANIAL ANEURYSM,VISITED A HEALTH CARE PROVIDER,2
 INTRACRANIAL ANEURYSM, LIFE THREATENING,2
 INTRACRANIAL ANEURYSM, HOSPITALIZATION,2
 INTRACARDIAC THROMBUS, HOSPITALIZATION,2
 INTRA-ABDOMINAL HAEMORRHAGE,VISITED A HEALTH CARE PROVIDER,2
 INTESTINAL VILLI ATROPHY, HOSPITALIZATION,2
 INTESTINAL SPASM, VISITED AN ER,2
 INTESTINAL SPASM,HOSPITALIZATION,2
 INTESTINAL PERFORATION,SERIOUS INJURIES/ ILLNESS,2
 INTESTINAL OBSTRUCTION,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 INTESTINAL MASS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 INTESTINAL MASS, HOSPITALIZATION,2
 INTESTINAL ISCHAEMIA, VISITED AN ER,2
 INTESTINAL FUNCTIONAL DISORDER, SERIOUS INJURIES/ ILLNESS,2
 INTESTINAL FUNCTIONAL DISORDER, VISITED A HEALTH CARE PROVIDER,2
 INTESTINAL CYST,HOSPITALIZATION,2
 INTERVERTEBRAL DISC PROTRUSION, SERIOUS INJURIES/ ILLNESS,2
 INTERVERTEBRAL DISC PROTRUSION,VISITED AN ER,2
 INTERVERTEBRAL DISC DEGENERATION, VISITED A HEALTH CARE PROVIDER,2
 INTERVERTEBRAL DISC DEGENERATION, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 INTERVERTEBRAL DISC DEGENERATION,LIFE THREATENING,2
 INTERVERTEBRAL DISC DEGENERATION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 INTERNATIONAL NORMALISED RATIO DECREASED, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 INTERNATIONAL NORMALISED RATIO ABNORMAL, HOSPITALIZATION,2
 INTERFERON ALPHA LEVEL INCREASED,VISITED AN ER,2
 INTENTIONAL SELF-INJURY,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 INTENTIONAL DRUG MISUSE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 INTENSIVE CARE,HOSPITALIZATION,2
 INSULIN TOLERANCE TEST NORMAL, VISITED A HEALTH CARE PROVIDER,2
 INSULIN TOLERANCE TEST NORMAL, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 INSULIN TOLERANCE TEST NORMAL,VISITED AN ER,2
 INSULIN TOLERANCE TEST NORMAL, HOSPITALIZATION,2
 INNER EAR INFLAMMATION, VISITED AN ER,2
 INNER EAR DISORDER,VISITED AN ER,2
 INJURY, DISABILITY,2
 INJURY, SERIOUS INJURIES/ ILLNESS,2
 INJURY,SERIOUS INJURIES/ ILLNESS,2
 INJURY,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 INJECTION SITE ABSCESS,HOSPITALIZATION,2
 INGROWING NAIL, VISITED A HEALTH CARE PROVIDER,2
 INGROWING NAIL, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 INGROWING NAIL,HOSPITALIZATION,2
 INFREQUENT BOWEL MOVEMENTS, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 INFREQUENT BOWEL MOVEMENTS, VISITED A HEALTH CARE PROVIDER,2
 INFREQUENT BOWEL MOVEMENTS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 INFREQUENT BOWEL MOVEMENTS,DISABILITY,2
 INFREQUENT BOWEL MOVEMENTS, LIFE THREATENING,2
 INFLUENZA, VISITED A HEALTH CARE PROVIDER,2
 INFLUENZA, NON-SERIOUS INJURIES/ ILLNESS,2
 INFLAMMATORY BOWEL DISEASE, DISABILITY,2
 INFLAMMATORY BOWEL DISEASE,HOSPITALIZATION,2
 INFLAMMATION, DISABILITY,2
 INFECTIOUS MONONUCLEOSIS,VISITED A HEALTH CARE PROVIDER,2
 INFECTION PARASITIC,VISITED AN ER,2
 INFARCTION, DISABILITY,2
 INFARCTION, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 INCREASED TENDENCY TO BRUISE, VISITED AN ER,2
 INCREASED TENDENCY TO BRUISE,HOSPITALIZATION,2
 INCREASED BRONCHIAL SECRETION, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 INCREASED BRONCHIAL SECRETION,LIFE THREATENING,2
 INCREASED BRONCHIAL SECRETION,VISITED AN ER,2
 INCREASED BRONCHIAL SECRETION,NON-SERIOUS INJURIES/ ILLNESS,2
 INCREASED APPETITE, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 INCREASED APPETITE,DISABILITY,2
 INCREASED APPETITE, HOSPITALIZATION,2
 INCONTINENCE,NON-SERIOUS INJURIES/ ILLNESS,2
 INCOHERENT, VISITED A HEALTH CARE PROVIDER,2
 INCOHERENT, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 INCOHERENT,LIFE THREATENING,2
 IMPETIGO, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 IMPETIGO,VISITED A HEALTH CARE PROVIDER,2
 IMPAIRED WORK ABILITY,LIFE THREATENING,2
 IMPAIRED WORK ABILITY,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 IMPAIRED HEALING, VISITED A HEALTH CARE PROVIDER,2
 IMPAIRED GASTRIC EMPTYING,VISITED AN ER,2
 IMPAIRED GASTRIC EMPTYING,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 IMPAIRED DRIVING ABILITY, SERIOUS INJURIES/ ILLNESS,2
 IMPAIRED DRIVING ABILITY, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 IMPAIRED DRIVING ABILITY,VISITED A HEALTH CARE PROVIDER,2
 IMMUNE SYSTEM DISORDER,NON-SERIOUS INJURIES/ ILLNESS,2
 IMMUNE SYSTEM DISORDER,DISABILITY,2
 IMMOBILE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 IMMATURE RESPIRATORY SYSTEM,HOSPITALIZATION,2
 ILL-DEFINED DISORDER, VISITED A HEALTH CARE PROVIDER,2
 ILL-DEFINED DISORDER,LIFE THREATENING,2
 ILL-DEFINED DISORDER,VISITED AN ER,2
 ILEUS,HOSPITALIZATION,2
 IDIOSYNCRATIC DRUG REACTION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 HYSTERECTOMY, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 HYSTERECTOMY,VISITED A HEALTH CARE PROVIDER,2
 HYPOXIA, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 HYPOXIA,LIFE THREATENING,2
 HYPOXIA, VISITED AN ER,2
 HYPOXIA,DISABILITY,2
 HYPOVENTILATION, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 HYPOVENTILATION, VISITED A HEALTH CARE PROVIDER,2
 HYPOVENTILATION, VISITED AN ER,2
 HYPOVENTILATION,NON-SERIOUS INJURIES/ ILLNESS,2
 HYPOVENTILATION, LIFE THREATENING,2
 HYPOVENTILATION, HOSPITALIZATION,2
 HYPOTONIA, SERIOUS INJURIES/ ILLNESS,2
 HYPOTONIA,SERIOUS INJURIES/ ILLNESS,2
 HYPOTONIA,VISITED A HEALTH CARE PROVIDER,2
 HYPOTHYROIDISM,SERIOUS INJURIES/ ILLNESS,2
 HYPOTHERMIA,VISITED AN ER,2
 HYPOTHERMIA,HOSPITALIZATION,2
 HYPOTHALAMO-PITUITARY DISORDER, HOSPITALIZATION,2
 HYPOSMIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 HYPOREFLEXIA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 HYPOREFLEXIA,VISITED A HEALTH CARE PROVIDER,2
 HYPOREFLEXIA,HOSPITALIZATION,2
 HYPOPNOEA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 HYPOPHOSPHATAEMIA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 HYPOPHOSPHATAEMIA,LIFE THREATENING,2
 HYPOPHOSPHATAEMIA,HOSPITALIZATION,2
 HYPOPHAGIA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 HYPOPHAGIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 HYPONATRAEMIA, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 HYPONATRAEMIA,VISITED AN ER,2
 HYPOMAGNESAEMIA,LIFE THREATENING,2
 HYPOMAGNESAEMIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 HYPOKINESIA,NON-SERIOUS INJURIES/ ILLNESS,2
 HYPOKINESIA,HOSPITALIZATION,2
 HYPOGLYCAEMIA,DISABILITY,2
 HYPOCALCAEMIA, VISITED AN ER,2
 HYPOCALCAEMIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 HYPOALBUMINAEMIA,HOSPITALIZATION,2
 HYPOAESTHESIA ORAL,DISABILITY,2
 HYPOACUSIS, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 HYPOACUSIS, LIFE THREATENING,2
 HYPOACUSIS, HOSPITALIZATION,2
 HYPERVITAMINOSIS D, LIFE THREATENING,2
 HYPERVITAMINOSIS D,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 HYPERVITAMINOSIS A,VISITED A HEALTH CARE PROVIDER,2
 HYPERVITAMINOSIS A,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 HYPERVITAMINOSIS A,HOSPITALIZATION,2
 HYPERVENTILATION, SERIOUS INJURIES/ ILLNESS,2
 HYPERVENTILATION,LIFE THREATENING,2
 HYPERVENTILATION, LIFE THREATENING,2
 HYPERTROPHY,VISITED A HEALTH CARE PROVIDER,2
 HYPERTROPHY, HOSPITALIZATION,2
 HYPERTRICHOSIS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 HYPERTHYROIDISM,NON-SERIOUS INJURIES/ ILLNESS,2
 HYPERTHYROIDISM,DISABILITY,2
 HYPERTHERMIA, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 HYPERTHERMIA, VISITED A HEALTH CARE PROVIDER,2
 HYPERTHERMIA,VISITED AN ER,2
 HYPERTENSIVE CRISIS, VISITED AN ER,2
 HYPERTENSIVE CRISIS,NON-SERIOUS INJURIES/ ILLNESS,2
 HYPERSOMNIA,HOSPITALIZATION,2
 HYPERSENSITIVITY, DEATH,2
 HYPERPLASIA, DISABILITY,2
 HYPERPLASIA,VISITED A HEALTH CARE PROVIDER,2
 HYPERPHAGIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 HYPERPARATHYROIDISM,VISITED A HEALTH CARE PROVIDER,2
 HYPERPARATHYROIDISM, HOSPITALIZATION,2
 HYPERNATRAEMIA, VISITED AN ER,2
 HYPERNATRAEMIA,HOSPITALIZATION,2
 HYPERLIPIDAEMIA,HOSPITALIZATION,2
 HYPERKALAEMIA, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 HYPERKALAEMIA,DISABILITY,2
 HYPERCALCAEMIA, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 HYPERCALCAEMIA, LIFE THREATENING,2
 HYPERBILIRUBINAEMIA,VISITED AN ER,2
 HYPERBILIRUBINAEMIA,DISABILITY,2
 HYPERAESTHESIA,DISABILITY,2
 HYPERAESTHESIA, HOSPITALIZATION,2
 HYPERACUSIS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 HYPERACUSIS,VISITED A HEALTH CARE PROVIDER,2
 HYDROCEPHALUS, HOSPITALIZATION,2
 HUMAN CHORIONIC GONADOTROPIN ABNORMAL,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 HORMONE LEVEL ABNORMAL,DISABILITY,2
 HORDEOLUM, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,2
 HOMICIDAL IDEATION, DISABILITY,2
 HOMICIDAL IDEATION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 HOLMES-ADIE PUPIL, DISABILITY,2
 HOLMES-ADIE PUPIL,VISITED A HEALTH CARE PROVIDER,2
 HODGKIN'S DISEASE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 HLA MARKER STUDY POSITIVE,HOSPITALIZATION,2
 HIRSUTISM, DISABILITY,2
 HIRSUTISM,HOSPITALIZATION,2
 HIP ARTHROPLASTY, VISITED A HEALTH CARE PROVIDER,2
 HIP ARTHROPLASTY, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),2
 HICCUPS,LIFE THREATENING,2
 HICCUPS,VISITED AN ER,2
